method,roc_auc,precision,recall,f_score
amax,0.934607265758805,0.6302816901408451,0.7075098814229249,0.6666666666666667
mean,0.8969300279869952,0.5467625899280576,0.6007905138339921,0.5725047080979285
median,0.8806287910839814,0.44029850746268656,0.6996047430830039,0.5404580152671755
