method,roc_auc,precision,recall,f_score
amax,0.9663047437617508,0.78,0.7707509881422925,0.7753479125248508
median,0.9719790674470747,0.7445255474452555,0.8063241106719368,0.7741935483870968
mean,0.9603883336991026,0.6770833333333334,0.7707509881422925,0.720887245841035
