method,roc_auc,precision,recall,f_score
amax,0.9624630365776679,0.7378277153558053,0.7786561264822134,0.7576923076923078
median,0.9649246251620507,0.6633986928104575,0.8023715415019763,0.7262969588550984
mean,0.9312474688398632,0.5663430420711975,0.691699604743083,0.6227758007117438
