method,roc_auc,precision,recall,f_score
median,0.9753185019604471,0.7518518518518519,0.8023715415019763,0.7762906309751435
amax,0.9616689027604635,0.8181818181818182,0.6758893280632411,0.7402597402597403
mean,0.9458608885701293,0.6153846153846154,0.6956521739130435,0.6530612244897959
